RK,,Team,Total Points,Previous Points,+/-,Positions
1,,Belgium,1832.33,1822.34,9.99,
,,,,,,
2,,Brazil,1811.73,1797.67,14.06,
,,,,,,
3,,England,1755.44,1752.83,2.61,
,,,,,,
4,,France,1754.31,1761.77,-7.46,
,,,,,,
5,,Italy,1735.73,1744.67,-8.94,
,,,,,,
6,,Argentina,1725.31,1714.43,10.88,
,,,,,,
7,,Portugal,1674.9,1661.51,13.39,
,,,,,,
8,,Spain,1673.68,1680.44,-6.76,
,,,,,,
9,,Mexico,1666.19,1658.29,7.9,
,,,,,,
10,,Denmark,1658.49,1642.28,16.21,
,,,,,,
11,,Netherlands,1648.2,1637.48,10.72,
,,,,,,
12,,Uruguay,1645.42,1634.63,10.79,
,,,,,,
13,,USA,1643.1,1647.75,-4.65,
,,,,,,
14,,Germany,1627.8,1613.29,14.51,
,,,,,,
15,,Switzerland,1622.73,1621.37,1.36,
,,,,,,
16,,Colombia,1618.4,1617.67,0.73,
,,,,,,
17,,Croatia,1608.25,1594.36,13.89,
,,,,,,
18,,Sweden,1606.03,1606.79,-0.76,
,,,,,,
19,,Wales,1563.59,1567.29,-3.7,
,,,,,,
20,,Senegal,1555.37,1545.38,9.99,
,,,,,,
21,,Peru,1548.78,1543.16,5.62,
,,,,,,
22,,IR Iran,1538.08,1522.04,16.04,
,,,,,,
23,,Chile,1536.53,1557.81,-21.28,
,,,,,,
24,,Poland,1531.82,1516.27,15.55,
,,,,,,
25,,Tunisia,1526.87,1515.3,11.57,
,,,,,,
26,,Japan,1520.46,1529.45,-8.99,
,,,,,,
27,,Ukraine,1520.07,1522.7,-2.63,
,,,,,,
28,,Serbia,1515.97,1507.19,8.78,
,,,,,,
29,,Austria,1504.82,1535.12,-30.3,
,,,,,,
30,,Algeria,1498.62,1498.75,-0.13,
,,,,,,
31,,Czech Republic,1494.78,1492.65,2.13,
,,,,,,
32,,Australia,1493.99,1477.21,16.78,
,,,,,,
33,,Morocco,1493.23,1487.89,5.34,
,,,,,,
34,,Nigeria,1492.37,1479.58,12.79,
,,,,,,
35,,Paraguay,1484.31,1483.49,0.82,
,,,,,,
36,,Korea Republic,1479.41,1474.96,4.45,
,,,,,,
37,,Russia,1475.43,1462.24,13.19,
,,,,,,
38,,Slovakia,1462.59,1467.4,-4.81,
,,,,,,
39,,Norway,1461.76,1450.12,11.64,
,,,,,,
40,,Hungary,1456.93,1474.36,-17.43,
,,,,,,
41,,Turkey,1455.44,1463.91,-8.47,
,,,,,,
42,,Romania,1451.8,1439.7,12.1,
,,,,,,
43,,Qatar,1445.83,1455.23,-9.4,
,,,,,,
44,,Costa Rica,1438.29,1449.79,-11.5,
,,,,,,
45,,Scotland,1435.64,1424.77,10.87,
,,,,,,
46,,Greece,1435.43,1427.04,8.39,
,,,,,,
47,,Northern Ireland,1435.06,1422.29,12.77,
,,,,,,
48,,Egypt,1434.62,1432.63,1.99,
,,,,,,
49,,Venezuela,1434.14,1463.3,-29.16,
,,,,,,
50,,Republic of Ireland,1418.7,1429.44,-10.74,
