"","호선","역명","감소율"
"1","4호선","명동",64.5721683727352
"2","2호선","종합운동장",55.7758051059344
"3","2호선","한양대",52.4175397605175
"4","2호선","이대",51.5871334808084
"5","3호선","동대입구",49.8616835200979
"6","2호선","동대문역사문화공원",47.6439094971764
"7","6호선","이태원",46.4977795563594
"8","4호선","동대문역사문화공원",46.156998895585
"9","6호선","안암",44.0809259215457
"10","4호선","서울역",42.9511691270486
"11","2호선","홍대입구",42.5407962522308
"12","2호선","신촌",42.1763980248011
"13","2호선","강변",41.9092928708071
"14","7호선","어린이대공원",40.9333120944896
"15","7호선","숭실대입구",40.0098523398088
"16","3호선","경복궁",39.7262119541248
"17","6호선","월드컵경기장",39.5084945382366
"18","3호선","학여울",39.1516348231691
"19","2호선","을지로입구",39.0691655251554
"20","5호선","송정",38.7577653145594
"21","7호선","건대입구",38.4362792123589
"22","4호선","회현",38.3909681914406
"23","6호선","상수",38.2530373927446
"24","1호선","서울역",38.0659864519298
"25","3호선","고속터미널",37.7685428946356
"26","1호선","동대문",37.6654053306832
"27","4호선","숙대입구",37.4023556362631
"28","1호선","종로3가",37.2036665980989
"29","3호선","잠원",37.0478383593434
"30","1호선","종각",36.7588802691796
"31","4호선","혜화",36.7355582712043
"32","4호선","충무로",36.5408006701729
"33","3호선","안국",36.3059651549854
"34","6호선","고려대",36.2644499218728
"35","1호선","시청",35.3588359001767
"36","7호선","대림",35.2674381552741
"37","7호선","고속터미널",35.0033472522552
"38","5호선","종로3가",34.466364582458
"39","5호선","올림픽공원",33.9602189472999
"40","2호선","건대입구",33.7806616427931
"41","2호선","잠실",33.5597664008978
"42","4호선","동대문",32.6550150353104
"43","4호선","한성대입구",32.5641347992832
"44","3호선","독립문",32.4764483005696
"45","5호선","광화문",32.4658852583491
"46","2호선","방배",32.369818503314
"47","4호선","성신여대입구",32.0585927635422
"48","1호선","청량리",31.9832196456767
"49","2호선","신설동",31.9516725336541
"50","2호선","왕십리",31.8191144847871
"51","4호선","남태령",31.6157030451773
"52","2호선","삼성",31.5309026849173
"53","4호선","이촌",31.4332974278803
"54","1호선","종로5가",31.4283995246858
"55","4호선","사당",31.3815868005728
"56","2호선","시청",31.2967615407313
"57","4호선","길음",31.2143210502484
"58","2호선","잠실새내",30.5502341743466
"59","6호선","대흥",30.5347561895322
"60","2호선","강남",30.3094088178637
"61","6호선","화랑대",30.2815344620358
"62","3호선","종로3가",30.192900699336
"63","8호선","천호",30.18926149615
"64","7호선","상도",30.0653423188902
"65","3호선","남부터미널",30.050695794095
"66","8호선","송파",29.9583224088558
"67","2호선","사당",29.8862510780153
"68","2호선","잠실나루",29.6502944786073
"69","2호선","신도림",29.5143974479522
"70","6호선","녹사평",29.0955408246406
"71","6호선","월곡",28.8893862250322
"72","2호선","대림",28.679443398735
"73","7호선","광명사거리",28.5118696717414
"74","2호선","당산",28.4387402604335
"75","5호선","마장",28.393503143773
"76","1호선","신설동",28.1770285474452
"77","7호선","상동",27.876020471032
"78","7호선","부천종합운동장",27.8744837701185
"79","7호선","태릉입구",27.6576802040458
"80","6호선","불광",27.5116080252239
"81","7호선","중계",27.4376215774472
"82","3호선","불광",27.0302173646955
"83","6호선","봉화산",26.9327377647222
"84","4호선","노원",26.9301376792104
"85","6호선","삼각지",26.8261149022206
"86","7호선","반포",26.8246450779821
"87","7호선","하계",26.7742555173753
"88","2호선","충정로",26.6282129114273
"89","7호선","장승배기",26.6151225265365
"90","6호선","동묘앞",26.5290054167698
"91","1호선","제기동",26.485293088127
"92","4호선","총신대입구",26.4530194076811
"93","8호선","몽촌토성",26.4508893469377
"94","6호선","신당",26.3886257639499
"95","2호선","을지로3가",26.2454506425605
"96","7호선","철산",26.1804926905167
"97","3호선","교대",26.1296220875969
"98","6호선","태릉입구",26.1205880286363
"99","7호선","공릉",26.0636428307246
"100","2호선","교대",26.061546633436
"101","4호선","미아",25.967567375271
"102","8호선","잠실",25.9313069239078
"103","3호선","홍제",25.9131397860304
"104","5호선","목동",25.4983330476665
"105","3호선","대치",25.457953985072
"106","2호선","서초",25.4525704589136
"107","3호선","약수",25.3542520301623
"108","4호선","창동",25.2426013905365
"109","1호선","동묘앞",25.1658715412923
"110","5호선","왕십리",25.1244222321922
"111","3호선","을지로3가",25.0721004001948
"112","5호선","우장산",25.0031273258971
"113","6호선","효창공원앞",24.8697774015238
"114","6호선","상월곡",24.8544177938292
"115","2호선","서울대입구",24.8522719184639
"116","4호선","수유",24.8468448019122
"117","5호선","광나루",24.6622906238857
"118","6호선","새절",24.6516652714226
"119","5호선","개화산",24.5749139244793
"120","2호선","신림",24.4456192628207
"121","3호선","오금",24.4109196694885
"122","3호선","가락시장",24.3683318270059
"123","8호선","남한산성입구",24.3241667707217
"124","3호선","연신내",24.2772046294599
"125","6호선","합정",24.1208921101518
"126","6호선","약수",24.1188384768696
"127","8호선","장지",24.0850739470333
"128","7호선","온수",23.9469099252184
"129","4호선","쌍문",23.8128599702893
"130","5호선","천호",23.7451150695142
"131","6호선","석계",23.6954121335658
"132","3호선","양재",23.6405461412898
"133","6호선","창신",23.507988413373
"134","2호선","낙성대",23.4895804776827
"135","6호선","광흥창",23.2935135383935
"136","7호선","삼산체육관",23.2731478064024
"137","5호선","애오개",23.2160647638889
"138","6호선","역촌",22.9819155932538
"139","3호선","신사",22.8362108605203
"140","4호선","상계",22.7879924972453
"141","8호선","단대오거리",22.7423033648981
"142","5호선","개롱",22.7069695831161
"143","2호선","합정",22.4437366450797
"144","7호선","이수",22.4420711132962
"145","5호선","방화",22.4361125363249
"146","8호선","수진",22.4275434864827
"147","7호선","노원",22.3332722442875
"148","7호선","남성",22.304320921452
"149","3호선","도곡",22.2525292733165
"150","2호선","신당",22.2138808361125
"151","2호선","양천구청",22.2001294545131
"152","5호선","고덕",22.1975648643179
"153","6호선","버티고개",22.1656636450145
"154","5호선","오목교",22.098680706894
"155","4호선","미아사거리",21.9315241685847
"156","3호선","일원",21.9132012265502
"157","5호선","방이",21.9080506842231
"158","2호선","신대방",21.9004703422565
"159","8호선","복정",21.9002760367127
"160","6호선","보문",21.8814006203436
"161","8호선","석촌",21.8597028367705
"162","7호선","면목",21.7907914611982
"163","3호선","대청",21.5747814047567
"164","5호선","동대문역사문화공원",21.5124580472821
"165","7호선","중화",21.292197757773
"166","5호선","화곡",21.1370965862543
"167","3호선","무악재",21.1010012582095
"168","3호선","옥수",21.0926194840019
"169","3호선","압구정",21.0728985788109
"170","2호선","구로디지털단지",21.0650949399915
"171","4호선","신용산",21.0167598837879
"172","5호선","청구",21.0050915531639
"173","2호선","아현",20.9632717413375
"174","7호선","신대방삼거리",20.815437441542
"175","7호선","청담",20.775595746489
"176","7호선","굴포천",20.772458525578
"177","3호선","수서",20.7441188486642
"178","7호선","먹골",20.7276564723036
"179","6호선","구산",20.7176395571271
"180","5호선","서대문",20.7169065763477
"181","5호선","신금호",20.636071922113
"182","3호선","경찰병원",20.5840294350946
"183","6호선","한강진",20.3325481210305
"184","5호선","답십리",20.28974106268
"185","7호선","도봉산",20.2866508167045
"186","6호선","마포구청",20.2475336911738
"187","5호선","행당",20.170312635261
"188","7호선","신중동",20.1339896437495
"189","5호선","굽은다리",20.0682854037922
"190","7호선","부평구청",20.0638772009204
"191","5호선","여의나루",19.8252718751422
"192","7호선","수락산",19.7430128448171
"193","4호선","삼각지",19.6815210279042
"194","5호선","둔촌동",19.6163959567632
"195","6호선","공덕",19.539107551408
"196","5호선","영등포시장",19.4944383297157
"197","3호선","금호",19.4517424433887
"198","6호선","증산",19.352698110197
"199","2호선","선릉",19.3506036657039
"200","2호선","구의",19.3463273282984
"201","7호선","뚝섬유원지",19.3355567589474
"202","7호선","남구로",19.3319266762558
"203","8호선","신흥",19.2901811059684
"204","7호선","중곡",19.2599641420077
"205","3호선","구파발",19.2190513082613
"206","2호선","용답",18.9187844261029
"207","8호선","가락시장",18.7385260461081
"208","5호선","강동",18.6404222773097
"209","5호선","장한평",18.5831770876481
"210","5호선","까치산",18.5074839156431
"211","7호선","보라매",18.4315235528173
"212","8호선","모란",18.4207013145661
"213","4호선","당고개",18.4136400104426
"214","7호선","내방",18.3834443124361
"215","6호선","응암",18.352386082544
"216","2호선","봉천",18.0957486773658
"217","5호선","공덕",18.0670967116849
"218","2호선","상왕십리",18.0085982657886
"219","6호선","독바위",17.9254055885312
"220","7호선","상봉",17.8935438024927
"221","5호선","마포",17.8830291175734
"222","7호선","부천시청",17.7562605492947
"223","7호선","용마산",17.687279597082
"224","8호선","강동구청",17.5555781078072
"225","5호선","오금",17.4861668076449
"226","2호선","역삼",17.455880038328
"227","6호선","청구",17.430029835533
"228","2호선","신답",17.3882100336546
"229","2호선","용두",17.0643106812772
"230","6호선","디지털미디어시티",16.8128145730824
"231","7호선","까치울",16.5946529473507
"232","7호선","신풍",16.5041679631989
"233","5호선","군자",16.4600446723459
"234","2호선","을지로4가",16.233595685248
"235","8호선","암사",15.8188727188659
"236","7호선","군자",15.7934405711654
"237","7호선","춘의",15.5184957937009
"238","5호선","아차산",15.5002997666681
"239","2호선","영등포구청",15.4357513401267
"240","4호선","동작",15.3654526734263
"241","5호선","충정로",15.3547371483
"242","7호선","사가정",14.5586586249973
"243","7호선","마들",14.464731942767
"244","7호선","장암",13.9342496183832
"245","2호선","신정네거리",13.8688364374901
"246","6호선","망원",13.2158535831324
"247","7호선","논현",13.0903413414092
"248","3호선","매봉",13.0259080297108
"249","5호선","명일",12.9548367629973
"250","6호선","돌곶이",12.830488533537
"251","2호선","문래",12.4957897034602
"252","7호선","강남구청",12.0192914009107
"253","3호선","녹번",11.7675584629245
"254","5호선","발산",11.5373301732258
"255","5호선","신정",11.2558125988991
"256","5호선","거여",11.1601557645304
"257","5호선","김포공항",11.0610090995259
"258","7호선","학동",10.8946047541289
"259","5호선","길동",10.7757081252513
"260","7호선","가산디지털단지",9.30290244912634
"261","5호선","영등포구청",9.06938300156478
"262","8호선","산성",8.35909563569194
"263","8호선","문정",7.92255064178509
"264","5호선","양평",7.71661768350979
"265","5호선","여의도",7.0634260929343
"266","2호선","도림천",6.28483314947034
"267","5호선","을지로4가",5.84675734882063
"268","5호선","마천",3.28904295340151
"269","2호선","뚝섬",2.94245073418394
"270","2호선","성수",2.61504449341653
"271","5호선","신길",0.0525147576882779
"272","7호선","천왕",-0.318689630629003
"273","5호선","상일동",-6.74128920276516
"274","5호선","마곡",-26.3050835164437
"275","3호선","지축",-140.833086318414
